"inegi","afro","indigena","resto"
"16042",0.14,0.08,99.78
"16043",0.25,2.53,97.22
"16044",0.2,0.19,99.61
"16045",1.47,0.71,97.82
"16046",0.09,0.4,99.51
"16047",0.47,0.41,99.12
"16048",0.09,0.18,99.73
"16049",0.18,0.52,99.29
"16050",0.57,0.52,98.91
"16051",0.82,0.64,98.55
"16052",0.78,1.9,97.32
"16053",0.37,1.93,97.7
"16054",0.23,0.13,99.63
"16055",0.44,0.74,98.81
"16056",0.13,47.54,52.33
"16057",3.71,0.41,95.88
"16058",0.29,7.04,92.67
"16059",1.36,0.53,98.11
"16060",0.06,0.35,99.59
"16061",0.11,0.68,99.21
"16062",0.58,0.55,98.87
"16063",0.74,0.5,98.76
"16064",0.17,1,98.83
"16065",0.32,48.02,51.66
"16066",0.46,10.26,89.28
"16067",0.53,0.38,99.08
"16068",1.32,0.76,97.92
"16069",0.62,0.63,98.75
"16070",0.06,0.93,99.01
"16071",0.35,0.74,98.9
"16072",0.11,0.38,99.51
"16073",0.58,33.48,65.94
"16074",0.75,0.45,98.8
"16075",0.26,18.99,80.75
"16076",0.6,0.41,98.99
"16077",0.85,0.4,98.74
"16078",0.11,0.03,99.85
"16079",1.02,0.65,98.32
"16080",0.92,0.45,98.64
"16081",0.2,5.78,94.03
"16082",0.67,0.72,98.61
"16083",0.08,0.63,99.3
"16084",0.61,42.31,57.08
"16085",2.35,7.5,90.15
"16086",0.13,1.36,98.51
"16087",0.58,0.6,98.82
"16088",0.34,1.19,98.47
"16089",0.35,0.48,99.17
"16090",0.25,16.38,83.37
"16091",0.37,6.91,92.72
"16092",0.1,0.19,99.7
"16093",11.44,0.67,87.89
"16094",0.11,0.29,99.59
"16095",0.08,0.56,99.35
"16096",0.24,0.22,99.53
"16097",0.89,2.88,96.23
"16098",0.15,0.38,99.47
"16099",0.14,0.07,99.8
"16100",0.17,33.06,66.77
"16101",0.53,0.27,99.19
"16102",0.56,10.25,89.19
"16103",1.3,0.13,98.58
"16104",0.63,0.47,98.89
"16105",0.11,0.39,99.5
"16106",0.33,1.3,98.37
"16107",0.3,3.78,95.92
"16108",0.37,2.07,97.56
"16109",0.19,0.29,99.52
"16110",0.21,0.13,99.67
"16111",0.28,2.69,97.03
"16112",0.5,6.66,92.84
"16113",0.27,0.35,99.38
"17001",1.01,0.91,98.08
"17002",0.27,9.63,90.1
"17003",0.24,3.18,96.58
"17004",0.93,5.47,93.6
"17005",0.05,0.83,99.12
"17006",0.65,6.13,93.22
"17007",0.87,2.77,96.36
"17008",0.8,3.54,95.66
"17009",2.1,4.92,92.98
"17010",0.15,2.7,97.15
"17011",1.22,3.49,95.29
"17012",0.88,1.54,97.58
"17013",0.24,1.83,97.93
"17014",0.28,1.06,98.66
"17015",0.7,1.43,97.87
"17016",0.54,1.58,97.88
"17017",1.11,10.52,88.36
"17018",1.38,5.55,93.07
"17019",0.72,1.56,97.72
"17020",0.86,13.59,85.56
"17021",0.47,0.8,98.73
"17022",0.63,28.26,71.11
"17023",0.94,1.85,97.21
"17024",1.24,2.73,96.03
"17025",0.97,1.89,97.14
"17026",1.31,14.07,84.62
"17027",0.75,3.66,95.59
"17028",1.81,2.88,95.31
"17029",0.63,3.18,96.19
"17030",0.9,2.72,96.38
"17031",0.91,1.31,97.78
"17032",0.12,1.22,98.66
"17033",0.6,1.84,97.56
"18001",0.23,3.89,95.88
"18002",0.23,0.83,98.94
"18003",0.11,0.26,99.62
"18004",0.25,2.12,97.64
"18005",0.49,26.71,72.8
"18006",0.12,2.14,97.75
"18007",0.12,1.18,98.7
"18008",0.44,2.71,96.85
"18009",0.22,92.15,7.64
"18010",0.23,7.06,92.71
"18011",0.15,17.99,81.86
"18012",0.31,4.46,95.22
"18013",0.11,0.55,99.35
"18014",0.21,8.19,91.59
"18015",0.23,1.43,98.34
"18016",0.28,0.61,99.11
"18017",0.27,3.1,96.62
"18018",0.32,0.97,98.72
"18019",0.04,44.75,55.21
"18020",0.63,2.76,96.61
"19001",0.08,0.77,99.15
"19002",0.04,0.33,99.63
"19003",0.16,NA,99.84
"19004",0.39,0.9,98.71
"19005",0.24,0.13,99.63
"19006",1.83,1.5,96.67
"19007",0.58,0.26,99.15
"19008",0.1,0.33,99.57
"19009",1.47,1.05,97.48
"19010",3.73,6.34,89.93
"19011",0.21,0.28,99.51
"19012",1.56,7.95,90.5
"19013",0.19,0.5,99.31
"19014",0.26,0.49,99.25
"19015",0.19,1.17,98.64
"19016",0.18,0.93,98.89
"19017",0.24,0.38,99.38
"19018",2.74,7.43,89.82
"19019",0.93,2.54,96.53
"19020",0.17,1.93,97.91
"19021",8.22,2.67,89.11
"19022",0.05,0.34,99.61
"19023",NA,NA,100
"19024",0.1,NA,99.9
"19025",1.32,5.54,93.14
"19026",2.06,1.29,96.65
"19027",0.06,0.17,99.77
"19028",0.47,2.86,96.68
"19029",0.13,0.32,99.55
"19030",0.2,0.23,99.57
"19031",1,4.43,94.57
"19032",0.14,0.04,99.82
"19033",0.15,0.3,99.55
"19034",0.09,6.82,93.09
"19035",0.11,NA,99.89
"19036",0.19,0.07,99.73
"19037",0.19,0.25,99.56
"19038",0.15,0.5,99.35
"19039",1.02,1.67,97.31
"19040",0.21,1.15,98.64
"19041",2.23,6.82,90.95
"19042",0.14,0.45,99.41
"19043",0.12,0.35,99.54
"19044",0.1,0.5,99.4
"19045",0.58,5.17,94.24
"19046",0.8,0.82,98.38
"19047",0.23,0.51,99.26
"19048",1.17,2.51,96.32
"19049",0.57,3.68,95.75
"19050",2.24,0.06,97.69
"19051",0.15,0.12,99.73
"20001",10.32,89.57,0.11
"20002",3.11,20.3,76.59
"20003",0.2,99.8,NA
"20004",7.13,1.23,91.64
"20005",1.92,72.09,25.99
"20006",1.55,24.6,73.85
"20007",0.43,98.98,0.59
"20008",0.26,22.96,76.78
"20009",0.18,87.96,11.86
"20010",6.86,12.79,80.36
"20011",2.89,46.51,50.6
"20012",0.32,78.34,21.33
"20013",2.99,1.13,95.88
"20014",3.2,45.16,51.65
"20015",11.54,53.7,34.75
"20016",0.78,99.14,0.08
"20017",6.89,1.37,91.74
"20018",0.38,0.5,99.12
"20019",5.38,67.39,27.24
"20020",0.25,68.58,31.17
"20021",4.06,9.7,86.24
"20022",NA,41.96,58.04
"20023",1.06,13.85,85.09
"20024",0.97,44.48,54.55
"20025",0.65,12.38,86.97
"20026",0.9,69.57,29.53
"20027",0.36,84.05,15.59
"20028",1.61,4.87,93.53
"20029",0.22,98.94,0.85
"20030",0.92,69.87,29.21
"20031",6.28,93.35,0.37
"20032",5.23,NA,94.77
"20033",2.8,11.92,85.28
"20034",1.3,4.42,94.28
"20035",5.13,42.78,52.09
"20036",4.92,77.85,17.23
"20037",39.85,32.29,27.86
"20038",0.52,98.59,0.89
"20039",6.41,15.15,78.44
"20040",0.52,99.3,0.17
"20041",8.31,90.18,1.5
"20042",0.38,77.07,22.55
"20043",1.59,82.49,15.92
"20044",1.61,5.26,93.13
"20045",5,5.22,89.78
"20046",0.8,17.77,81.43
"20047",NA,NA,100
"20048",54.64,11.12,34.24
"20049",1.06,29.23,69.72
"20050",0.18,99.47,0.35
"20051",14.42,85.14,0.44
"20052",1.78,9.04,89.17
"20053",0.99,46.2,52.81
"20054",0.24,7.02,92.74
"20055",12.32,0.9,86.78
"20056",12.19,6.63,81.18
"20058",2.06,96.9,1.04
"20059",7.6,16.76,75.64
"20060",0.54,99.38,0.08
"20061",1.84,3.38,94.77
"20062",0.63,59.83,39.53
"20063",0.96,2.05,97
"20064",0.86,34.68,64.46
"20065",15,82.75,2.25
"20066",12.2,3.46,84.34
"20067",5.68,18.18,76.14
"20068",0.72,9.57,89.72
"20069",21.53,1.03,77.43
"20070",1.7,95.26,3.05
"20071",4.15,6.71,89.13
"20072",0.28,19.92,79.8
"20073",8.87,30.19,60.94
"20074",0.62,99.17,0.21
"20075",0.22,6.26,93.52
"20076",19.2,3.55,77.25
"20077",1.37,7.81,90.81
"20078",1.56,2.02,96.41
"20079",2.01,13.73,84.27
"20080",0.34,0.28,99.38
"20081",1.71,86.11,12.18
"20082",13.97,59.38,26.65
"20083",8.63,22.66,68.71
"20084",5.2,4.45,90.35
"20085",3.95,94.41,1.64
"20086",0.97,91.37,7.66
"20087",0.79,22.11,77.1
"20088",7.04,7.65,85.31
"20089",0.67,5.02,94.32
"20090",21.03,43.58,35.39
"20091",0.91,26.68,72.41
"20092",0.63,30.03,69.34
"20093",0.21,NA,99.79
"20094",18.21,43.69,38.1
"20095",1.18,93.03,5.79
"20096",5.92,9.31,84.77
"20097",0.54,99.04,0.42
"20098",0.36,79.84,19.8
"20099",1.08,0.43,98.48
"20100",NA,99.76,0.24
"20101",1.22,29.21,69.57
"20102",2.53,15.25,82.22
"20103",1.61,35.48,62.91
"20104",4.18,71.99,23.83
"20105",1.83,98.04,0.12
"20106",12.55,3.24,84.21
"20107",2.24,20.69,77.07
"20108",8.62,76.28,15.1
"20109",0.33,16.95,82.72
"20110",0.34,99.33,0.34
"20111",3.3,91.64,5.07
"20112",0.56,98.55,0.88
"20113",10.83,45.41,43.75
"20114",0.78,97.97,1.25
"20115",6.49,10.55,82.95
"20116",1.34,98.28,0.39
"20117",5.35,88.96,5.69
"20118",0.44,99.52,0.04
"20119",NA,95.85,4.15
"20120",0.3,96.11,3.59
"20121",0.61,43.87,55.52
"20122",0.16,58.9,40.94
"20123",1.27,9.06,89.67
"20124",0.55,97.48,1.96
"20125",0.34,59.4,40.26
"20126",2.87,91.59,5.54
"20127",1,94.02,4.99
"20128",0.33,98.51,1.16
"20129",0.28,8.43,91.29
"20130",1.52,76.15,22.33
"20131",0.7,98.31,0.99
"20132",0.56,7.52,91.92
"20133",2,96.02,1.97
"20134",1.54,96.19,2.27
"20135",1.87,7.13,91
"20136",0.22,99.1,0.69
"20137",10.09,5.06,84.86
"20138",0.23,98.63,1.14
"20139",0.94,22.94,76.11
"20141",4.45,33.27,62.29
"20142",2.73,96.97,0.3
"20143",0.6,23.85,75.55
"20144",0.53,27.71,71.76
"20145",10.04,29.87,60.08
"20146",0.11,99.71,0.18
"20147",0.28,1.13,98.58
"20148",11.91,84.17,3.92
"20149",2.21,3.55,94.24
"20150",4.71,4,91.28
"20151",4.52,NA,95.48
"20152",0.19,74.23,25.58
"20153",30.3,4,65.7
"20154",3.62,52.3,44.08
"20155",0.21,3.7,96.09
"20156",0.82,82.39,16.79
"20157",8.36,13.96,77.68
"20158",3.09,8.72,88.2
"20159",1.05,4.72,94.22
"20160",5.25,1.02,93.74
"20161",25.38,2.29,72.33
"20162",0.1,38.37,61.53
"20163",0.63,95.09,4.28
"20164",0.11,84.04,15.85
"20165",1.01,0.4,98.59
"20166",1.31,53.15,45.54
"20167",0.99,6.25,92.76
"20168",40.31,5.06,54.63
"20169",0.78,98.94,0.28
"20170",0.55,98.77,0.68
"20171",1.65,98.11,0.25
"20172",4.57,1.61,93.82
"20173",1.92,96.02,2.06
"20174",26.79,7.88,65.33
"20175",1.21,72.9,25.89
"20176",1.64,11.09,87.27
"20177",4.3,26.46,69.24
"20178",4.09,12.6,83.31
"20179",0.76,4.77,94.47
"20180",75.92,2.81,21.27
"20181",0.92,1.84,97.24
"20182",0.92,98.76,0.32
"20183",0.07,21.49,78.44
"20184",3.26,29.15,67.59
"20185",5.62,6.4,87.97
"20186",0.18,NA,99.82
"20187",0.77,99,0.22
"20188",7.94,72.23,19.83
"20189",1.53,97.84,0.63
"20190",1.15,71.33,27.51
"20191",0.61,10.4,88.99
"20192",0.54,2.68,96.78
"20193",6.65,2.93,90.42
"20194",0.65,98.38,0.97
"20195",0.56,98.79,0.65
"20196",NA,68.93,31.07
"20197",1.9,92.39,5.71
"20198",0.4,89.06,10.54
"20199",NA,11.42,88.58
"20200",0.38,97.72,1.91
"20201",0.15,98.92,0.92
"20202",39.08,47.27,13.66
"20203",1.38,1.22,97.4
"20204",NA,7.26,92.74
"20205",3.25,88.82,7.92
"20206",13.17,53.81,33.02
"20207",0.65,74.7,24.65
"20208",3.25,96.21,0.54
"20209",34.24,65.76,NA
"20210",1.15,98.22,0.63
"20211",24.83,56.13,19.04
"20212",0.86,99.08,0.07
"20213",3.03,96.83,0.14
"20214",2.17,96.71,1.11
"20215",0.13,7.27,92.6
"20216",0.47,99.53,NA
"20217",3.45,70.53,26.02
"20218",8.29,88.51,3.2
"20219",0.69,26.73,72.58
"20220",11.65,67.4,20.95
"20221",1.09,4.63,94.28
"20222",0.47,98.85,0.68
"20223",0.42,99.58,NA
"20224",1.95,3.91,94.14
"20225",7.94,81.67,10.4
"20226",10.9,10.68,78.42
"20227",4.26,7.95,87.79
"20228",2.35,97.27,0.37
"20229",0.89,98.77,0.34
"20230",1.42,6.67,91.9
"20231",0.41,99.56,0.03
"20232",5.81,90.14,4.06
"20233",1.04,98.5,0.46
"20234",0.44,99.42,0.14
"20235",5.06,1.54,93.4
"20236",9.63,90.11,0.26
"20237",2.59,7.9,89.51
"20238",NA,3.44,96.56
"20239",4.4,5.73,89.88
"20240",0.7,98.65,0.65
"20241",6.24,2.92,90.85
"20242",0.65,99.22,0.14
"20243",0.72,2.21,97.08
"20244",4.14,55.59,40.27
"20245",32.93,1.61,65.46
"20246",0.49,98.7,0.81
"20247",0.98,20.43,78.59
"20248",0.51,99.39,0.09
"20249",0.42,97.78,1.8
"20250",7.01,3.41,89.58
"20251",NA,1.84,98.16
"20252",1.26,97.86,0.87
"20253",7.43,13.08,79.49
"20254",5.95,10.18,83.87
"20255",5.82,7.89,86.29
"20256",0.91,1.82,97.27
"20257",0.2,99.29,0.51
"20258",1.14,5.86,93
"20259",0.38,79.3,20.31
"20260",9.99,89.83,0.18
"20261",18.87,26.85,54.27
"20262",6.42,27.12,66.46
"20263",2.01,32.94,65.06
"20264",0.62,98.52,0.86
"20265",7.48,51.68,40.84
"20266",0.41,11.7,87.89
"20267",28.1,61.98,9.92
"20268",10.17,8.09,81.73
"20269",3.16,84.49,12.35
"20270",0.09,58.6,41.31
"20271",0.26,99.47,0.26
"20272",15.26,84.07,0.67
"20273",2.7,35.92,61.38
"20274",4.24,60.99,34.77
"20275",0.48,99.19,0.33
"20276",0.14,77.78,22.08
"20277",0.83,7.24,91.92
"20278",1.94,83.63,14.42
"20279",17.5,77.87,4.63
"20280",0.09,82.17,17.74
"20281",6.15,7.38,86.48
"20282",0.14,52.54,47.32
"20283",NA,1.83,98.17
"20284",0.7,99.24,0.06
"20285",33.42,41.73,24.85
"20286",2.38,38.53,59.09
"20287",NA,8.74,91.26
"20288",1.01,98.31,0.67
"20289",0.71,0.8,98.48
"20290",1.98,1.46,96.56
"20291",0.13,4.01,95.86
"20292",0.43,17.51,82.06
"20293",4.64,9.19,86.16
"20294",12.04,6.22,81.74
"20295",3.6,4.85,91.54
"20296",9.71,84.42,5.87
"20297",0.08,99.92,NA
"20298",4.36,59.46,36.19
"20299",0.47,98.4,1.13
"20300",4.74,79.36,15.9
"20301",0.29,6.22,93.5
"20302",1.7,83.85,14.46
"20303",0.46,98.07,1.47
"20304",0.86,21.92,77.23
"20305",1.68,85.94,12.38
"20306",10.52,87.32,2.16
"20307",1.81,15.88,82.31
"20308",0.93,88.67,10.41
"20309",0.38,97.42,2.21
"20310",4.38,28.5,67.11
"20311",0.18,99.82,NA
"20312",10.26,88.03,1.7
"20313",0.77,83.29,15.94
"20314",0.33,2.61,97.06
"20315",0.24,88.78,10.99
"20316",0.44,6.86,92.7
"20317",0.41,2.67,96.92
"20318",6.39,7.99,85.62
"20319",2.23,97.77,NA
"20320",1.5,94.59,3.91
"20321",1.71,NA,98.29
"20322",0.25,98.98,0.76
"20323",1.29,98.52,0.19
"20324",3.13,17.63,79.24
"20325",0.38,99.27,0.35
"20326",0.08,98.58,1.34
"20327",3.25,8.2,88.54
"20328",0.08,NA,99.92
"20329",2.77,4.45,92.78
"20330",0.79,39.89,59.32
"20331",NA,66.24,33.76
"20332",NA,3.81,96.19
"20333",0.54,12.24,87.22
"20334",46.78,9.38,43.84
"20335",NA,99.78,0.22
"20336",0.18,99.18,0.65
"20337",1.75,96.88,1.37
"20338",2.78,20.77,76.46
"20339",10.58,5.33,84.08
"20340",13.03,17.39,69.58
"20341",4.33,1.73,93.94
"20342",4.71,12.01,83.28
"20343",2.21,55.21,42.58
"20344",0.43,2.37,97.21
"20345",35.04,11.25,53.71
"20346",0.07,86.85,13.08
"20347",0.7,26.47,72.83
"20348",1.49,45.7,52.81
"20349",0.31,59.06,40.63
"20350",7.16,13.48,79.36
"20351",1.58,1.44,96.98
"20352",23.17,76.63,0.2
"20353",0.38,1.88,97.75
"20354",NA,100,NA
"20355",NA,80.06,19.94
"20356",0.29,97.82,1.89
"20357",1.24,3.16,95.6
"20358",44.78,2.23,52.99
"20359",NA,100,NA
"20360",0.37,54.13,45.49
"20361",1.61,98.39,NA
"20362",3.9,36.34,59.75
"20363",0.23,11.83,87.93
"20364",6.67,38.43,54.9
"20365",11.65,61.94,26.41
"20366",1.06,21.01,77.93
"20367",20.85,78.7,0.45
"20368",0.16,2.31,97.54
"20369",1.83,3.56,94.61
"20370",0.3,23.86,75.84
"20371",0.19,89.31,10.5
"20372",0.9,96.92,2.19
"20373",0.29,0.58,99.14
"20374",0.13,99.22,0.65
"20375",7.46,27.35,65.2
"20376",NA,1.97,98.03
"20377",1.84,17.1,81.06
"20378",9.12,30.63,60.25
"20379",12.86,85.94,1.2
"20380",2.89,61.28,35.83
"20381",1.15,0.46,98.4
"20382",0.45,61.21,38.34
"20383",1.51,5.66,92.83
"20384",6.02,81.78,12.2
"20385",6.46,19.99,73.56
"20386",31.68,57.35,10.98
"20387",0.61,1.15,98.23
"20388",0.21,1.29,98.5
"20389",11.24,87.39,1.37
"20390",5.42,25.11,69.47
"20391",7.29,92.44,0.27
"20392",22.8,61.8,15.4
"20393",17.98,78.86,3.16
"20394",0.47,98.99,0.54
"20395",0.87,98.14,0.99
"20396",0.8,98.83,0.37
"20397",4.34,41.71,53.95
"20398",14.2,15.61,70.2
"20399",3.86,23.15,72.99
"20400",1.43,2.86,95.71
"20401",21.75,14.19,64.06
"20402",64.58,6.56,28.86
"20403",9.12,16.39,74.49
"20404",NA,2.75,97.25
"20405",0.62,30.07,69.31
"20406",0.79,98.52,0.68
"20408",NA,22.55,77.45
"20409",2.17,16.5,81.33
"20410",1.57,60.96,37.47
"20411",NA,61.39,38.61
"20412",1.31,74.55,24.14
"20413",5.65,9.63,84.72
"20414",55.03,37.03,7.94
"20415",25.79,25.08,49.12
"20416",NA,17.01,82.99
"20417",11.66,70.21,18.13
"20418",2.36,12.83,84.81
"20419",34.41,54.53,11.07
"20420",2.11,97.13,0.76
"20421",3.01,4.16,92.84
"20422",NA,63.25,36.75
"20423",0.65,6.02,93.33
"20424",1.47,35.94,62.59
"20425",0.29,99.38,0.34
"20426",22.63,76.96,0.41
"20428",0.42,97.04,2.55
"20429",5.02,5.3,89.68
"20430",NA,53.82,46.18
"20431",11.82,25.65,62.53
"20432",0.33,99,0.67
"20433",1.23,96.87,1.9
"20434",0.71,99.22,0.07
"20435",2.34,97.29,0.38
"20436",0.31,99.49,0.2
"20437",0.89,98.98,0.13
"20438",0.49,81.12,18.39
"20439",3.46,49.19,47.34
"20440",2.32,64.06,33.62
"20441",0.28,98.82,0.9
"20442",NA,100,NA
"20443",0.42,91.1,8.47
"20444",NA,88.38,11.62
"20445",18.49,81.51,NA
"20446",1.24,98.5,0.26
"20447",12.04,23.06,64.89
"20448",0.85,69.65,29.5
"20449",0.19,0.72,99.09
"20450",3.14,87.03,9.83
"20451",1.03,98.63,0.34
"20452",4.26,92.36,3.38
"20453",0.91,13.63,85.47
"20454",0.51,99.42,0.07
"20455",21.47,0.99,77.54
"20456",13.57,48.61,37.81
"20457",0.06,97.7,2.24
"20458",1.55,97.83,0.62
"20459",2.02,23.35,74.63
"20460",0.14,73.67,26.19
"20461",0.58,33.46,65.96
"20462",3.69,1.44,94.88
"20463",5.34,6.87,87.79
"20464",7.04,2.35,90.62
"20465",11.42,88.14,0.44
"20466",0.28,85.74,13.98
"20467",24.73,34.18,41.1
"20468",0.61,93,6.39
"20469",4.46,77.53,18.01
"20470",2.17,85.86,11.97
"20471",0.4,97.79,1.81
"20472",6.76,26.98,66.26
"20473",NA,100,NA
"20474",61.03,3,35.97
"20475",0.67,97.17,2.16
"20476",0.76,2.29,96.95
"20477",19.81,4.11,76.08
"20478",0.62,4.13,95.24
"20479",0.5,2.51,96.98
"20480",0.46,98.97,0.57
"20481",NA,99.5,0.5
"20482",39.87,30.22,29.91
"20483",3.03,3.37,93.61
"20484",0.93,21.36,77.71
"20485",88.25,2.95,8.81
"20486",1.02,4.13,94.85
"20487",2.28,4.06,93.66
"20488",NA,5.41,94.59
"20489",29.22,30.77,40.01
"20490",0.23,99.55,0.23
"20491",7.6,45.17,47.23
"20492",0.61,83.66,15.73
"20493",2.91,10.85,86.24
"20494",6.13,93.84,0.02
"20495",9.92,66.32,23.76
"20496",0.12,25.45,74.44
"20497",1.36,98.25,0.39
"20498",0.44,50.41,49.15
"20499",1.84,8.65,89.52
"20500",5.61,37.16,57.23
"20501",1.29,28.17,70.54
"20502",0.4,99.34,0.25
"20503",0.25,97.01,2.74
"20504",0.18,85.79,14.03
"20505",1.18,14.79,84.02
"20506",0.66,98.68,0.66
"20507",80.86,1.96,17.18
"20508",14.02,14.16,71.82
"20509",14.94,81.41,3.65
"20510",0.46,32.21,67.33
"20511",0.64,90.42,8.94
"20512",25.52,56.21,18.28
"20513",38.9,40.99,20.1
"20514",0.29,99.51,0.2
"20515",1.96,18.59,79.44
"20516",37.6,2.77,59.63
"20517",3.01,96.61,0.37
"20518",NA,2.27,97.73
"20519",5.26,40.09,54.65
"20520",1.98,31.58,66.45
"20521",0.87,33.04,66.09
"20522",0.19,98.83,0.97
"20523",1.85,10.21,87.94
"20524",NA,5.47,94.53
"20525",1.46,3.5,95.04
"20526",1.16,66.55,32.29
"20527",11.81,87.35,0.85
"20528",6.13,92.85,1.02
"20529",0.36,99.64,NA
"20530",0.44,37.83,61.72
"20531",13.04,75.1,11.86
"20532",0.43,99.38,0.19
"20533",1.14,15.59,83.27
"20534",0.2,95.18,4.61
"20535",18.84,81.05,0.1
"20536",NA,2.71,97.29
"20537",1.74,21.5,76.76
"20538",0.33,6.43,93.25
"20539",2.92,5.8,91.28
"20540",2.6,3.89,93.51
"20541",0.06,99.38,0.55
"20542",10.02,3.5,86.48
"20543",11.12,68.3,20.57
"20544",0.3,95.87,3.84
"20545",3.77,36.1,60.13
"20546",6.7,82.6,10.7
"20547",5,8.04,86.96
"20548",0.26,1.73,98.01
"20549",5.18,55.16,39.67
"20550",2.14,83.92,13.94
"20551",5.77,40.34,53.89
"20552",15.62,2.56,81.82
"20553",12.52,30.84,56.63
"20554",0.5,98.23,1.27
"20555",1.82,2.02,96.16
"20556",1.15,NA,98.85
"20557",1.72,90.53,7.75
"20558",30.72,28.21,41.06
"20559",0.59,72.79,26.61
"20560",11.44,85.57,2.99
"20561",0.41,2.18,97.41
"20562",0.58,2.21,97.21
"20563",0.56,NA,99.44
"20564",2.22,95.74,2.04
"20565",1.4,25.38,73.21
"20566",1.67,3.81,94.52
"20567",0.39,1.19,98.43
"20568",0.49,39.84,59.66
"20569",1.3,64.06,34.63
"20570",6.69,9.37,83.94
"21001",0.22,14.43,85.35
"21002",0.62,6.98,92.39
"21003",0.85,3.52,95.63
"21004",0.19,1.04,98.77
"21005",0.53,53.09,46.37
"21006",0.21,95.22,4.57
"21007",0.19,9.33,90.48
"21008",0.37,2.35,97.28
"21009",5.6,NA,94.4
"21010",0.25,63.5,36.25
"21011",NA,4.29,95.71
"21012",0.76,0.2,99.04
"21013",0.08,89.34,10.58
"21014",0.71,88.65,10.64
"21015",0.44,7.55,92.01
"21016",0.22,11.98,87.81
"21017",0.12,67.3,32.57
"21018",0.17,2.86,96.97
"21019",0.23,10.63,89.15
"21020",0.09,39.53,60.38
"21021",0.31,0.76,98.93
"21022",1.13,3.97,94.9
"21023",0.41,0.41,99.19
"21024",1.61,3.07,95.32
"21025",0.49,49.89,49.62
"21026",0.2,33.52,66.29
"21027",0.05,4.3,95.65
"21028",0.11,99.73,0.15
"21029",0.72,93.37,5.91
"21030",3.7,95.24,1.06
"21031",0.14,1.32,98.53
"21032",5.04,26.99,67.97
"21033",0.12,20.22,79.66
"21034",0.31,3.11,96.59
"21035",0.23,47.6,52.17
"21036",1.81,98,0.19
"21037",0.14,12.7,87.17
"21038",0.29,1.48,98.23
"21039",1.23,93.13,5.65
"21040",0.16,6.55,93.29
"21041",0.7,4.34,94.96
"21042",0.19,0.83,98.98
"21043",1.26,80.44,18.3
"21044",0.4,2.64,96.96
"21045",0.89,0.97,98.14
"21046",0.18,6.23,93.59
"21047",4.48,0.52,95
"21048",0.19,4.33,95.49
"21049",1.51,83.69,14.8
"21050",1.66,44.57,53.77
"21051",0.77,0.94,98.29
"21052",0.18,96.48,3.35
"21053",0.16,1.67,98.17
"21054",0.62,37.57,61.81
"21055",0.29,0.78,98.93
"21056",0.9,0.9,98.2
"21057",0.18,8.9,90.92
"21058",0.16,15.87,83.97
"21059",0.4,0.89,98.71
"21060",0.2,8.44,91.35
"21061",0.22,99.16,0.62
"21062",0.04,3.03,96.93
"21063",0.3,0.3,99.39
"21064",0.34,20.52,79.15
"21065",0.19,0.81,98.99
"21066",2.64,1.05,96.31
"21067",0.14,1.42,98.44
"21068",0.24,87.55,12.21
"21069",1.66,1.83,96.51
"21070",0.1,88.99,10.92
"21071",0.57,37.12,62.31
