ent_regis,muj_12a17,dispensa,solo_la,tasa,texto_articulo,articulo,ult_reforma,ent_nom
01,74682,0,140,187.5,La edad mínima para contraer matrimonio ser de 18 años.,Art. 145 Código Civil ,2/22/16,Aguascalientes
02,186434,1,183,98.199997,"Para contraer matrimonio, el hombre necesita haber cumplido deciséis
años y la mujer catorce. Los presidentes municipales pueden conceder dispensas de edad por causas
graves y justificadas.",Art. 145 Código Civil ,12/18/15,Baja California
03,39467,0,40,101.4,Para contraer matrimonio el hombre y la mujer deben tener 18  años cumplidos.,Art. 157 Código Civil ,10/31/16,Baja California Sur
04,47890,0,342,714.09998,"Sólo podrán celebrar matrimonio las personas mayores de edad, por lo que el Oficial del Registro Civil deberá cerciorarse plenamente que los contrayentes tienen por lo menos dieciocho años cumplidos el día en que se reciba la solicitud del matrimonio.
",Art. 159 Código Civil,5/16/16,Campeche
05,160900,0,832,517.09998,"La edad mínima para contraer matrimonio ser de dieciocho  años de edad. El matrimonio de una
persona menor de esa edad produce la nulidad de pleno derecho. ",Art. 141 Ley para la familia,7/1/16,Coahuila
06,36861,0,116,314.70001,"Para contraer matrimonio, cada uno de los contratantes necesitan haber cumplido dieciocho años, por ningún motivo podrá dispensarse este requisito",Art. 148 Código Civil ,11/22/16,Colima
07,336334,0,1519,451.60001,"Para contraer matrimonio, el hombre y la mujer necesitan haber cumplido dieciocho  años",Art.145 Código Civil ,4/6/16,Chiapas
08,201082,1,556,276.5,"El hijo o hija que no hayan cumplido dieciocho  años no pueden contraer matrimonio sin
consentimiento de sus padres, si vivieran ambos, o del que sobreviva. Este derecho lo tiene la madre,
aunque haya contraído segundas nupcias, si el hijo vive con ella. A falta o por imposibilidad de los
padres, se necesita el consentimiento de quien ejerza la patria potestad.",Art. 137 Código Civil ,11/19/16,Chihuahua
09,398106,0,342,85.900002,Para contraer matrimonio es necesario que ambos contrayentes hayan cumplido 18 años de edad. ,Art. 148 Código Civil ,7/13/16,CDMX
10,101883,1,319,313.10001,"Para contraer matrimonio, el hombre necesita haber cumplido deciséis  años y la mujer catorce. El Gobierno del Estado puede conceder dispensa de edad por causas graves y justificadas.",Art.143 Código Civil ,7/7/16,Durango
11,343350,1,163,47.5,"Para contraer matrimonio, es necesario que ambos contrayentes hayan cumplido dieciocho  años. El Juez de Partido de lo Civil del domicilio del menor que no llegare a la edad que señala este artículo y que tenga menos de dieciocho  años cumplidos y más de deciséis, podrá conceder dispensa de edad, por causas justificadas. Requerirá además del consentimiento de quien o quienes ostenten la patria potestad.
",Art. 145 Código Civil ,7/1/16,Guanajuato
12,224153,1,2112,942.20001,"Podrá contraer matrimonio el hombre y la mujer, que hayan cumplido dieciocho años. Los presidentes municipales, según el caso, podrán conceder dispensas de edad por causas graves y justificadas, siempre y cuando ambos pretendientes hubiesen cumplido deciséis  años de edad. Esta dispensa de edad es independiente del consentimiento de la persona que ejerza la patria potestad, en los términos del artículo siguiente.",Art. 412 Código Civil ,8/12/16,Guerrero
13,159794,0,320,200.3,La edad mínima para contraer matrimonio será de dieciocho  años cumplidos.,Art. 12 Ley para la familia ,6/6/16,Hidalgo
14,429926,0,360,83.699997,"Para contraer matrimonio, el hombre y la mujer necesitan contar con cuando menos dieciocho años de edad de conformidad a lo dispuesto por el artículo 45 de la Ley General de las Niños Níños y Adolescentes.",Art. 260 Código Civil ,10/11/16,Jalisco
15,899255,0,2226,247.5,"Para contraer matrimonio, la mujer y el hombre necesitan haber cumplido dieciocho años.",Art.4.4 Código Civil ,9/29/16,México
16,260801,0,1773,679.79999,"Son requisitos esenciales para contraer matrimonio:
I. Celebrarse ante el Oficial del Registro Civil, habiendo satisfecho las
formalidades exigidas por este Código;
II. Que ambos contrayentes sean mayores de edad;
III. Expresar su voluntad de unirse en matrimonio; y,
IV. Que no se encuentre unido en matrimonio u obligado por una sociedad de
convivencia.",Art. 133 Fracción II Código Familiar,11/18/16,Michoacán
17,100942,0,7,6.9000001,Para contraer matrimonio los contrayentes necesitan haber cumplido dieciocho  años.,Art. 72 Código Familiar,11/30/16,Morelos
18,65412,0,206,314.89999,"Solo podrán contraer matrimonio las personas que hayan cumplido
dieciocho  años de edad.",Art.  144 Código Civil ,11/8/16,Nayarit
19,258443,1,82,31.700001,"Para contraer matrimonio, el hombre y la mujer necesitan haber cumplido dieciocho  años, los jueces competentes podrán conceder dispensas de edad por causas justificadas",Art.  148 Código Civil ,5/11/16,Nuevo León
20,239372,0,87,36.299999,"I. Copia Certificada del Acta de Nacimiento o de algún documento expedido por Autoridad competente por el que se acredite la mayoría de edad e identidad, de cada uno de los pretendientes.",Art. 100 Código Civil,10/22/16,Oaxaca
21,363661,0,684,188.10001,"No pueden contraer matrimonio el hombre y la mujer, antes de cumplir dieciocho años de edad. ",Art. 300 Código Civil,11/25/16,Puebla
22,111744,1,163,145.89999,"Para contraer matrimonio, ambos contrayentes deberán tener 18  años cumplidos. Los jueces competentes, basándose en motivos excepcionales pueden permitir el matrimonio de menores de 18  años, siempre y cuando tengan como mínimo 16  años de edad.",Art. 140 Código Civil,10/29/15,Querétaro
23,80764,0,119,147.3,"Para contraer matrimonio, es necesario que ambos contrayentes sean mayores de edad.",Art. 697 Código Civil,5/30/16,Quintana Roo
24,159322,0,368,231,Serán requisitos para contraer matrimonio: la edad legal para contraer matrimonio es de dieciocho  años cumplidos.,Art. 17 Fracción II Código Familiar ,9/17/15,San Luis Potosí
25,162750,0,648,398.20001,"La edad mínima para contraer matrimonio es la de dieciocho años, de conformidad con lo dispuesto por el artículo 40 de la Ley de los Derechos de Niñas, Niños y Adolescentes del Estado.",Art. 43 Código Familiar ,5/30/16,Sinaloa
26,156287,1,366,234.2,"Para contraer matrimonio se requiere haber cumplido dieciocho  años. El hijo o la hija que no hayan cumplido dieciocho  años, no pueden contraer matrimonio sin consentimiento de quienes ejerzan la patria potestad o la tutela.",Art. 15 Código de Familia,6/15/15,Sonora
27,132251,1,324,245,"Pueden contraer matrimonio: el hombre y la mujer que han cumplido dieciocho años de edad. El Gobernador del Estado o el Presidente Municipal del lugar, pueden conceder dispensa, en casos excepcionales y por causas graves y justificadas.",Art. 154 Código Civil ,1/13/16,Tabasco
28,184215,0,327,177.5,"Para contraer matrimonio, el hombre y la mujer deben ser mayores de edad.",Art. 132 Código Civil ,6/23/16,Tamaulipas
29,73036,1,167,228.7,Podrán contraer matrimonio el hombre y la mujer que hayan cumplido dieciocho  años de edad. Los presidentes municipales podrán conceder la dispensa del impedimento de parentesco por consanguinidad en la línea colateral desigual.,Art. 46 Código Civil ,2/10/16,Tlaxcala
30,437548,0,0,0,No pueden contraer matrimonio el hombre y la mujer antes de cumplir dieciocho años.,Art. 86 Código Civil ,3/30/16,Veracruz
31,109219,0,298,272.79999,Para contraer matrimonio es necesario: que ambos contrayentes sean mayores de edad.,Art. 54 Fracción I Código de Familia,6/12/15,Yucatán
32,90365,1,435,481.39999,Los menores de edad no pueden contraer matrimonio sin consentimiento del que o de los que ejerzan la patria potestad.,Art. 107 Código de Familia,2/7/15,Zacatecas
